,cut,color,clarity,carat,depth,table,price,x (Premium),z (Very Good),y (Good)
41,0,3,3,0.9,64.5,56.0,2858,6.06,3.89,6.0
42,0,0,5,0.71,56.9,65.0,2858,5.89,3.34,5.84
43,0,2,4,0.75,55.8,70.0,2859,6.09,3.37,5.98
44,0,2,1,0.62,60.1,61.0,2861,5.53,3.33,5.56
45,0,1,3,1.01,67.6,57.0,2862,6.21,4.18,6.11
46,0,2,3,0.96,68.2,61.0,2867,6.07,4.1,5.88
47,0,4,2,1.0,65.5,62.0,2873,6.14,4.0,6.07
48,0,5,2,0.9,65.7,58.0,2873,6.03,3.95,6.0
49,0,5,2,0.9,65.3,61.0,2873,5.98,3.89,5.94
50,0,5,2,0.9,65.8,56.0,2873,6.01,3.94,5.96
51,0,4,3,1.0,67.7,60.0,2875,6.11,4.09,5.98
52,0,6,4,1.0,65.5,55.0,2875,6.3,4.11,6.25
53,0,5,2,1.0,66.3,61.0,2875,6.08,4.01,6.03
54,0,4,3,1.0,69.5,55.0,2875,6.17,4.26,6.1
55,0,2,4,0.72,56.9,69.0,2879,5.93,3.33,5.77
56,0,2,2,0.88,56.6,65.0,2882,6.39,3.6,6.32
57,0,4,3,0.9,65.0,61.0,2883,6.01,3.89,5.96
58,0,5,3,1.03,65.3,55.0,2884,6.32,4.11,6.27
59,0,1,2,0.8,56.3,63.0,2885,6.22,3.48,6.14
60,0,0,3,0.9,66.9,57.0,2885,6.02,3.99,5.9
61,0,4,0,1.19,65.1,59.0,2892,6.62,4.29,6.55
62,0,1,5,0.71,64.6,59.0,2902,5.62,3.62,5.59
63,0,4,3,1.0,65.2,54.0,2912,6.3,4.08,6.22
64,0,5,2,1.0,66.0,56.0,2912,6.31,4.13,6.24
65,0,4,3,1.0,67.0,55.0,2912,6.25,4.16,6.12
66,0,5,5,0.9,64.1,66.0,2921,6.04,3.85,5.98
67,0,1,3,0.9,65.0,58.0,2930,6.08,3.94,6.04
68,0,5,0,1.17,65.4,62.0,2935,6.68,4.33,6.57
69,0,1,5,0.75,56.0,67.0,2940,6.18,3.43,6.08
70,0,3,3,1.03,65.7,59.0,2942,6.3,4.12,6.24
71,0,3,3,1.01,67.1,59.0,2942,6.27,4.18,6.19
72,0,5,3,0.9,66.4,60.0,2948,5.92,3.91,5.86
73,0,1,3,1.0,65.8,58.0,2948,6.28,4.09,6.16
74,0,6,2,0.99,58.0,67.0,2949,6.57,3.79,6.5
75,0,2,3,0.98,61.6,66.0,2958,6.46,3.92,6.24
76,0,3,7,0.74,65.2,58.0,2959,5.7,3.69,5.6
77,0,1,4,0.7,64.5,57.0,2964,5.59,3.59,5.55
78,0,2,3,0.9,65.7,59.0,2964,6.03,3.95,5.99
79,0,6,4,0.9,65.4,60.0,2964,6.02,3.91,5.93
80,0,3,2,1.0,65.7,54.0,2964,6.24,4.07,6.16
81,0,4,0,1.5,65.6,54.0,2964,7.26,4.7,7.09
82,0,6,4,0.9,64.6,58.0,2964,6.12,3.93,6.06
83,0,4,0,1.13,64.8,59.0,2968,6.52,4.19,6.42
84,0,2,2,0.91,64.9,57.0,2971,6.13,3.96,6.08
85,0,0,3,1.0,69.3,58.0,2974,5.96,4.1,5.87
86,0,1,3,0.9,65.8,59.0,2982,6.03,3.95,5.98
87,0,6,3,1.06,61.0,66.0,2992,6.54,3.93,6.35
88,0,3,2,1.01,65.1,57.0,2993,6.27,4.07,6.22
89,0,2,3,0.91,65.3,51.0,2996,6.05,3.93,5.98
90,0,6,7,1.01,66.0,56.0,2998,6.29,4.13,6.22
91,0,3,4,0.85,57.7,67.0,2998,6.26,3.59,6.19
92,0,4,0,1.02,61.5,60.0,2999,6.4,3.92,6.34
93,0,2,4,0.73,58.6,66.0,3002,5.92,3.46,5.88
94,0,0,3,1.01,64.6,56.0,3003,6.31,4.05,6.24
95,0,6,0,1.2,64.9,59.0,3011,6.61,4.27,6.54
96,0,5,0,1.2,62.2,66.0,3011,6.77,4.2,6.7
97,0,5,0,1.2,66.2,55.0,3011,6.61,4.34,6.51
98,0,1,3,1.0,55.4,62.0,3011,6.63,3.66,6.59
99,0,4,2,0.9,65.6,57.0,3024,6.04,3.95,6.01
100,0,6,2,1.02,66.8,55.0,3027,6.25,4.15,6.18
101,0,3,3,1.0,64.9,57.0,3027,6.29,4.05,6.2
102,0,2,4,0.77,66.8,57.0,3031,5.66,3.82,5.76
103,0,5,5,0.92,64.4,58.0,3033,6.13,3.94,6.1
104,0,2,4,0.7,64.9,59.0,3039,5.56,3.62,5.59
105,0,0,4,0.73,66.0,54.0,3047,5.56,3.7,5.66
106,0,3,2,1.03,66.1,56.0,3052,6.26,4.12,6.2
107,0,5,3,1.01,66.1,58.0,3054,6.21,4.05,6.04
108,0,5,3,1.01,68.1,59.0,3054,6.14,4.17,6.11
109,0,4,2,0.82,64.9,58.0,3057,5.82,3.76,5.77
110,0,3,6,0.71,62.8,57.0,3062,5.67,3.53,5.57
111,0,2,3,0.9,65.7,63.0,3062,6.01,3.93,5.96
112,0,5,7,0.9,67.0,56.0,3074,5.91,3.93,5.83
113,0,0,5,0.71,64.7,58.0,3077,5.61,3.62,5.58
114,0,0,3,0.91,62.5,66.0,3079,6.08,3.78,6.01
115,0,6,4,1.0,66.6,57.0,3080,6.07,4.03,6.03
116,0,1,3,0.9,64.5,55.0,3084,6.12,3.92,6.03
117,0,1,3,0.9,65.8,58.0,3084,6.02,3.95,5.98
118,0,5,3,1.02,64.5,56.0,3084,6.28,4.04,6.25
119,0,3,3,0.9,55.9,62.0,3104,6.35,3.57,6.42
120,0,3,3,0.9,64.7,58.0,3104,5.94,3.87,6.03
121,0,4,3,0.9,65.6,58.0,3105,6.05,3.95,5.95
122,0,2,2,0.92,64.9,58.0,3117,6.1,3.94,6.04
123,0,4,3,1.16,68.2,55.0,3118,6.47,4.38,6.37
124,0,6,3,1.02,65.0,59.0,3119,6.34,4.08,6.24
125,0,1,3,0.91,64.5,60.0,3119,6.04,3.87,5.96
126,0,1,3,1.0,66.6,59.0,3136,6.07,4.02,6.01
127,0,1,3,1.0,67.0,53.0,3136,6.19,4.13,6.13
128,0,1,3,1.0,67.0,53.0,3136,6.19,4.13,6.13
129,0,3,3,1.0,64.6,67.0,3142,6.25,4.02,6.19
130,0,3,3,1.0,68.3,54.0,3142,6.21,4.2,6.12
131,0,3,2,0.9,65.4,57.0,3145,6.04,3.92,5.95
132,0,3,2,0.9,65.6,56.0,3145,6.1,3.98,6.03
133,0,3,2,0.9,65.4,59.0,3145,6.04,3.94,6.0
134,0,4,2,0.9,66.8,55.0,3145,5.98,3.97,5.9
135,0,2,3,1.0,65.5,56.0,3146,6.3,4.09,6.19
136,0,6,3,1.03,64.6,62.0,3149,6.3,4.06,6.21
137,0,6,2,0.95,58.0,66.0,3154,6.5,3.76,6.46
138,0,2,2,0.9,66.0,57.0,3160,6.06,3.98,6.0
139,0,4,3,1.0,63.7,54.0,3164,6.42,4.06,6.27
140,0,5,5,0.87,57.3,59.0,3166,6.29,3.65,6.44
141,0,4,3,1.01,64.5,54.0,3167,6.26,4.0,6.15
142,0,2,3,1.09,66.3,56.0,3170,6.47,4.27,6.39
143,0,2,5,0.84,65.0,57.2,3172,5.83,3.81,5.87
144,0,3,3,0.93,66.1,58.1,3172,6.0,3.98,6.04
145,0,3,3,1.01,68.5,63.0,3173,6.08,4.14,6.0
146,0,6,2,1.0,65.3,57.0,3175,6.33,4.08,6.12
147,0,4,0,1.5,69.3,61.0,3175,6.99,4.78,6.81
148,0,4,2,0.91,64.4,60.0,3180,6.1,3.92,6.07
149,0,4,2,0.91,64.8,57.0,3180,6.12,3.95,6.07
150,0,1,3,0.9,57.5,68.0,3187,6.37,3.65,6.33
151,0,6,5,1.01,65.8,55.0,3190,6.29,4.12,6.24
152,0,4,3,1.0,64.4,57.0,3192,6.35,4.07,6.29
153,0,2,2,1.01,66.1,60.0,3197,6.15,4.06,6.13
154,0,6,3,1.0,56.3,64.0,3199,6.58,3.69,6.54
155,0,2,1,0.71,58.7,62.0,3205,5.87,3.43,5.81
156,0,0,3,0.9,65.9,59.0,3205,6.0,3.94,5.95
157,0,0,3,0.9,66.0,58.0,3205,6.0,3.95,5.97
158,0,0,3,0.9,64.7,54.0,3205,6.1,3.93,6.04
159,0,0,3,0.9,65.7,60.0,3205,5.98,3.91,5.93
160,0,0,3,0.9,64.7,59.0,3205,6.09,3.91,5.99
161,0,2,3,0.91,64.9,56.0,3210,6.08,3.94,6.05
162,0,5,5,0.96,56.1,60.0,3215,6.62,3.7,6.58
163,0,4,5,0.9,65.5,57.0,3226,6.05,3.95,6.01
164,0,6,3,1.03,56.2,62.0,3246,6.73,3.77,6.69
165,0,5,5,0.9,65.4,60.0,3246,6.03,3.93,5.96
166,0,0,4,0.25,61.2,55.0,563,4.09,2.51,4.11
167,0,4,3,1.0,66.5,62.0,3248,6.19,4.09,6.1
168,0,3,2,0.9,65.2,59.0,3250,6.05,3.93,6.01
169,0,5,5,0.93,64.7,58.0,3258,6.09,3.93,6.06
170,0,5,5,1.0,65.7,58.0,3265,6.25,4.09,6.2
171,0,2,3,1.0,65.1,55.0,3265,6.26,4.07,6.23
172,0,2,3,1.0,65.1,55.0,3265,6.26,4.07,6.23
173,0,1,4,0.9,67.6,56.0,3276,5.94,4.0,5.9
174,0,4,2,0.91,65.3,62.0,3278,6.11,3.96,6.01
175,0,5,2,1.01,65.5,58.0,3280,6.28,4.1,6.24
176,0,4,2,0.9,61.4,61.0,3282,6.08,3.75,6.14
177,0,2,3,0.92,65.3,58.0,3282,6.08,3.96,6.04
178,0,2,3,0.92,65.1,58.0,3282,6.12,3.97,6.07
179,0,4,2,0.94,68.4,53.0,3285,6.05,4.11,5.97
180,0,5,7,0.9,60.9,66.0,3288,6.1,3.72,6.12
181,0,5,3,1.02,66.2,57.0,3290,6.34,4.17,6.26
182,0,1,3,1.01,64.6,59.0,3294,6.22,4.01,6.18
183,0,0,7,0.7,58.5,62.0,3296,5.72,3.37,5.81
184,0,3,2,0.96,69.7,59.0,3299,6.09,4.18,5.9
185,0,6,3,1.08,64.9,60.0,3302,6.46,4.15,6.32
186,0,0,3,1.0,64.8,60.0,3304,6.23,4.02,6.18
187,0,3,2,1.0,65.8,55.0,3304,6.22,4.08,6.19
188,0,3,7,0.81,64.8,56.2,3323,5.82,3.82,5.98
189,0,2,2,0.92,66.0,57.0,3323,6.04,3.97,5.99
190,0,2,2,0.9,65.3,61.0,3326,6.0,3.9,5.95
191,0,1,2,0.9,65.0,61.0,3332,6.05,3.92,6.02
192,0,3,3,0.98,66.6,56.0,3332,6.12,4.04,6.02
193,0,5,2,0.99,60.7,66.0,3337,6.42,3.87,6.34
194,0,1,3,0.9,64.5,57.0,3342,6.13,3.94,6.09
195,0,5,3,1.0,65.8,58.0,3348,6.23,4.11,6.27
196,0,4,3,0.94,66.0,50.1,3353,6.13,4.06,6.17
197,0,3,2,0.93,64.4,57.0,3358,6.14,3.94,6.09
198,0,4,5,0.9,65.6,55.0,3375,6.01,3.93,5.97
199,0,0,2,0.9,66.4,59.0,3382,5.97,3.95,5.92
200,0,0,3,0.95,64.4,60.0,3384,6.06,3.89,6.02
201,0,4,2,0.9,65.4,56.0,3387,6.11,3.97,6.04
202,0,5,4,0.9,65.2,60.0,3387,6.0,3.9,5.96
203,0,2,2,1.0,68.7,55.0,3387,6.06,4.11,5.88
204,0,6,3,1.14,64.4,55.0,3403,6.56,4.22,6.54
205,0,1,2,0.92,65.6,57.0,3407,6.1,3.99,6.07
206,0,3,5,0.86,66.5,54.1,3418,5.89,3.94,5.97
207,0,6,5,1.0,65.3,61.0,3422,6.33,4.03,6.13
208,0,6,2,1.0,64.9,58.0,3427,6.29,4.06,6.23
209,0,2,2,0.9,65.1,56.0,3437,6.08,3.95,6.05
210,0,2,3,1.0,65.7,61.0,3443,6.13,4.02,6.11
211,0,6,5,1.09,64.6,58.0,3443,6.48,4.16,6.41
212,0,3,3,1.01,65.1,58.0,3461,6.29,4.07,6.21
213,0,4,3,1.0,66.1,59.0,3472,6.18,4.07,6.13
214,0,0,3,0.9,64.9,57.0,3473,6.03,3.9,5.98
215,0,0,3,0.9,64.5,61.0,3473,6.1,3.9,6.0
216,0,2,3,1.01,64.8,55.0,3477,6.37,4.1,6.26
217,0,4,2,1.01,64.4,59.0,3482,6.22,3.99,6.17
218,0,4,4,0.9,65.9,60.0,3500,5.99,3.94,5.96
219,0,4,0,1.52,64.9,58.0,3504,7.18,4.65,7.13
220,0,1,2,0.9,65.5,59.0,3508,6.06,3.96,6.03
221,0,4,2,1.0,65.5,57.0,3511,6.26,4.08,6.21
222,0,4,2,1.0,65.5,57.0,3511,6.26,4.08,6.21
223,0,3,3,1.03,65.7,58.0,3530,6.32,4.13,6.26
224,0,5,3,1.03,65.2,56.0,3530,6.42,4.16,6.35
225,0,1,3,0.96,65.6,58.0,3533,6.11,4.02,6.15
226,0,4,3,0.92,64.5,60.0,3536,6.06,3.89,6.01
227,0,4,5,0.9,64.8,58.0,3538,6.07,3.92,6.03
228,0,4,5,0.9,64.6,55.0,3538,6.07,3.9,6.0
229,0,2,3,1.01,64.6,59.0,3540,6.19,4.2,6.25
230,0,3,3,1.0,64.7,58.0,3541,6.24,4.02,6.19
231,0,3,3,1.07,66.8,57.0,3545,6.34,4.21,6.26
232,0,4,2,1.01,66.4,57.0,3546,6.12,4.05,6.08
233,0,3,3,1.04,66.1,60.0,3564,6.32,4.15,6.23
234,0,1,3,1.0,65.1,59.0,3575,6.3,4.08,6.23
235,0,4,2,0.98,68.6,58.0,3583,6.18,4.19,6.04
236,0,5,2,1.0,64.8,59.0,3584,6.23,4.01,6.14
237,0,4,5,0.99,71.6,57.0,3593,5.94,4.2,5.8
238,0,2,3,1.01,60.1,66.0,3597,6.44,3.86,6.41
239,0,5,5,1.01,68.7,58.0,3597,6.14,4.19,6.0
240,0,2,3,1.01,67.3,62.0,3597,6.09,4.08,6.03
241,0,2,3,1.01,66.7,64.0,3597,6.14,4.06,6.05
242,0,2,3,0.9,64.6,56.0,3613,6.01,3.9,6.07
243,0,2,3,1.05,66.0,60.0,3615,6.3,4.13,6.22
244,0,4,2,1.03,65.1,57.0,3617,6.43,4.16,6.36
245,0,2,2,0.98,61.8,66.0,3622,6.38,3.91,6.27
246,0,3,2,0.9,64.5,57.0,3629,6.07,3.9,6.03
247,0,3,2,1.0,67.7,57.0,3631,6.0,4.11,6.15
248,0,3,3,1.06,65.3,62.0,3633,6.33,4.11,6.25
249,0,2,3,1.02,66.6,58.0,3633,6.21,4.11,6.14
250,0,0,3,1.0,65.2,56.0,3634,6.27,4.07,6.21
251,0,3,2,1.0,43.0,59.0,3634,6.32,3.97,6.27
252,0,4,3,1.0,65.1,58.0,3640,6.27,4.05,6.15
253,0,4,5,0.96,68.8,56.0,3658,6.11,4.16,5.98
254,0,2,2,1.0,66.7,57.0,3669,6.07,4.02,5.99
255,0,5,3,1.12,64.6,57.0,3669,6.5,4.19,6.47
256,0,3,2,1.01,66.1,56.0,3671,6.26,4.12,6.2
257,0,1,3,0.96,57.7,67.0,3674,6.49,3.73,6.46
258,0,4,4,1.01,67.1,59.0,3676,6.16,4.11,6.09
259,0,2,3,0.96,65.2,58.0,3688,6.14,3.99,6.12
260,0,0,2,0.9,64.8,59.0,3689,6.1,3.93,6.03
261,0,0,2,0.9,64.5,61.0,3689,6.05,3.89,6.01
262,0,1,0,1.23,67.4,56.0,3692,6.76,4.49,6.56
263,0,1,2,1.0,66.5,55.0,3696,6.21,4.12,6.19
264,0,4,3,1.2,65.6,57.0,3696,6.73,4.36,6.57
265,0,4,5,0.9,64.7,58.0,3697,5.98,3.88,6.01
266,0,3,2,1.0,66.1,62.0,3700,6.1,4.01,6.03
267,0,4,5,0.9,64.6,54.0,3725,6.09,3.95,6.14
268,0,0,2,0.91,64.7,61.0,3730,6.06,3.9,5.99
269,0,0,2,0.91,65.2,57.0,3730,6.08,3.95,6.04
270,0,4,3,1.11,64.4,58.0,3730,6.55,4.2,6.5
271,0,4,5,1.01,65.2,56.0,3733,6.23,4.05,6.19
272,0,2,0,1.51,67.8,59.0,3734,7.09,4.78,7.0
273,0,2,0,1.51,67.5,56.0,3734,7.17,4.8,7.05
274,0,2,3,1.0,65.1,60.0,3740,6.19,4.0,6.1
275,0,1,2,0.9,64.9,56.0,3743,6.12,3.99,6.18
276,0,0,3,1.03,66.4,56.0,3743,6.31,4.15,6.19
277,0,5,0,1.52,67.7,58.0,3745,7.07,4.76,7.0
278,0,4,3,1.03,66.3,57.0,3749,6.35,4.18,6.25
279,0,2,4,0.9,65.7,59.0,3750,5.96,3.9,5.92
280,0,2,5,0.9,65.7,57.0,3750,6.03,3.95,5.99
281,0,4,2,0.93,64.6,58.0,3750,6.13,3.94,6.07
282,0,0,2,0.9,65.7,65.0,3751,6.06,3.94,5.94
283,0,2,3,1.02,65.5,59.0,3754,6.27,4.1,6.24
284,0,3,4,0.86,64.6,58.8,3756,5.95,3.87,6.04
285,0,1,3,1.0,64.6,54.0,3763,6.33,4.07,6.27
286,0,5,4,1.0,65.3,55.0,3763,6.34,4.11,6.25
287,0,1,3,1.0,69.0,56.0,3763,6.01,4.12,5.94
288,0,3,3,1.22,64.7,61.0,3763,6.75,4.34,6.68
289,0,4,0,1.51,65.6,61.0,3765,7.16,4.66,7.0
290,0,3,3,1.03,65.6,58.0,3765,6.3,4.12,6.26
291,0,0,3,1.0,65.6,66.0,3767,6.1,3.97,6.01
292,0,6,2,1.0,64.7,52.0,3780,6.35,4.09,6.3
293,0,0,3,1.04,65.8,58.0,3780,6.32,4.13,6.25
294,0,2,3,0.9,62.6,58.0,3787,6.01,3.78,6.06
295,0,3,3,1.02,65.3,58.0,3787,6.33,4.1,6.22
296,0,1,3,1.01,60.0,60.0,3801,6.48,3.86,6.38
297,0,5,4,1.01,64.9,56.0,3801,6.29,4.07,6.2
298,0,5,3,1.02,65.5,57.0,3802,6.19,4.07,6.24
299,0,3,4,0.9,65.7,58.0,3806,6.02,3.94,5.97
300,0,0,2,0.9,60.4,61.0,3812,6.24,3.76,6.22
301,0,1,7,0.73,57.4,59.0,3813,5.99,3.43,5.95
302,0,0,3,1.05,65.4,59.0,3816,6.3,4.1,6.24
303,0,3,3,1.01,58.7,67.0,3816,6.52,3.84,6.56
304,0,3,3,1.01,59.8,66.0,3816,6.42,3.86,6.48
305,0,4,2,0.91,64.7,56.0,3816,6.1,3.94,6.07
306,0,4,5,1.0,64.8,55.0,3819,6.35,4.09,6.28
307,0,4,2,1.0,55.2,64.0,3830,6.69,3.68,6.64
308,0,3,2,1.0,68.2,60.0,3833,6.02,4.08,5.94
309,0,5,3,1.17,59.2,68.0,3833,6.91,4.07,6.84
310,0,3,2,1.0,68.9,56.0,3833,6.16,4.23,6.11
311,0,2,5,0.91,66.8,58.0,3837,5.95,3.98,5.97
312,0,2,3,1.01,65.2,57.0,3837,6.33,4.1,6.24
313,0,1,3,1.02,65.3,59.0,3838,6.28,4.08,6.22
314,0,0,3,0.9,64.6,59.0,3847,6.04,3.89,6.01
315,0,0,2,0.91,64.4,60.0,3855,6.08,3.9,6.04
316,0,3,3,1.01,64.7,58.0,3856,6.14,4.0,6.23
317,0,1,3,1.08,64.9,60.0,3861,6.43,4.16,6.39
318,0,4,2,1.21,69.6,55.0,3862,6.49,4.49,6.42
319,0,4,3,1.21,65.6,56.0,3862,6.69,4.36,6.59
320,0,2,3,1.0,65.5,54.0,3864,6.2,4.05,6.16
321,0,4,2,1.01,64.5,59.0,3869,6.27,4.03,6.23
322,0,4,2,1.01,65.3,61.0,3869,6.23,4.05,6.18
323,0,0,3,1.01,64.7,57.0,3871,6.31,4.07,6.27
324,0,1,5,0.9,65.2,61.0,3875,6.01,3.91,5.98
325,0,1,3,1.03,65.3,59.0,3876,6.3,4.1,6.25
326,0,4,3,1.26,64.9,60.0,3881,6.7,4.32,6.62
327,0,6,5,1.01,59.6,62.0,3886,6.54,3.88,6.49
328,0,1,3,1.0,56.9,63.0,3889,6.54,3.71,6.49
329,0,1,2,1.1,65.5,57.0,3891,6.45,4.2,6.37
330,0,5,2,1.03,57.4,61.0,3892,6.67,3.84,6.71
331,0,0,3,1.18,57.0,66.0,3899,6.96,3.98,6.91
332,0,1,3,1.01,57.9,57.0,3916,6.51,3.78,6.55
333,0,5,2,1.0,56.4,61.0,3920,6.58,3.7,6.55
334,0,2,7,0.51,65.4,60.0,3920,4.98,3.23,4.9
335,0,4,4,0.92,56.0,60.0,3924,6.53,3.65,6.51
336,0,2,5,0.9,64.7,54.0,3931,6.09,3.92,6.03
337,0,0,5,0.9,57.5,66.0,3931,6.3,3.61,6.25
338,0,0,2,0.9,66.1,55.0,3945,5.98,3.93,5.92
339,0,5,4,1.0,64.0,49.0,3951,6.43,4.1,6.39
340,0,3,2,1.0,68.3,61.0,3965,6.02,4.08,5.93
341,0,3,2,1.0,65.2,62.0,3965,6.19,4.01,6.08
342,0,0,3,1.0,65.0,56.0,3965,6.27,4.06,6.23
343,0,0,3,1.0,66.5,59.0,3965,6.24,4.14,6.21
344,0,4,2,1.02,64.6,55.0,3972,6.33,4.07,6.28
345,0,2,3,1.0,59.3,66.0,3975,6.44,3.84,6.51
346,0,6,5,1.08,65.1,54.0,3980,6.47,4.2,6.44
347,0,6,3,1.21,64.6,59.0,3984,6.74,4.32,6.64
348,0,4,3,1.25,64.4,58.0,3990,6.82,4.36,6.71
349,0,1,3,1.01,56.8,66.0,3991,6.63,3.75,6.58
350,0,2,2,1.01,66.8,60.0,3991,6.21,4.12,6.13
351,0,2,5,0.9,58.9,67.0,3992,6.18,3.64,6.17
352,0,3,2,1.01,64.2,59.0,4004,6.31,4.04,6.28
353,0,1,3,1.0,57.3,62.0,4032,6.54,3.76,6.59
354,0,3,5,1.0,44.0,53.0,4032,6.31,4.12,6.24
355,0,2,3,1.0,59.0,67.0,4036,6.48,3.8,6.41
356,0,4,3,1.03,67.0,61.0,4038,6.25,4.16,6.17
357,0,0,7,0.74,65.4,53.0,4040,5.73,3.74,5.71
358,0,4,4,1.01,66.1,55.0,4044,6.28,4.14,6.24
359,0,3,2,1.02,64.5,56.0,4044,6.3,4.04,6.23
360,0,3,3,1.2,65.5,59.0,4044,6.73,4.34,6.53
361,0,3,3,1.01,58.3,62.0,4047,6.46,3.78,6.5
362,0,2,2,0.94,56.8,67.0,4053,6.56,3.69,6.44
363,0,6,3,1.11,64.8,55.1,4056,6.44,4.21,6.55
364,0,1,5,0.9,65.0,55.0,4057,6.11,3.95,6.04
365,0,3,3,1.24,65.7,57.0,4058,6.72,4.4,6.68
366,0,2,2,0.97,56.4,66.0,4063,6.59,3.7,6.54
367,0,3,5,1.01,65.7,54.0,4072,6.32,4.14,6.28
368,0,1,3,1.0,64.6,60.0,4077,6.23,4.01,6.18
369,0,5,2,1.22,66.2,60.0,4099,6.61,4.36,6.56
370,0,1,2,0.31,56.9,66.0,579,4.53,2.56,4.47
371,0,3,2,1.01,66.9,56.0,4102,6.15,4.14,6.22
372,0,1,2,1.01,65.6,59.0,4106,6.22,4.07,6.18
373,0,0,5,0.91,65.7,56.0,4107,6.1,3.99,6.05
374,0,0,5,0.91,65.7,58.0,4107,6.04,3.95,5.99
375,0,4,3,1.13,64.4,58.0,4113,6.59,4.22,6.51
376,0,4,6,0.91,56.5,67.0,4115,6.38,3.61,6.4
377,0,1,3,1.01,55.2,65.0,4118,6.78,3.71,6.67
378,0,1,3,1.01,64.7,55.0,4118,6.37,4.1,6.3
379,0,0,2,1.01,66.3,55.0,4118,6.22,4.11,6.17
380,0,6,2,1.13,64.9,55.0,4123,6.49,4.24,6.56
381,0,1,5,0.9,64.5,61.0,4125,6.07,3.9,6.03
382,0,2,3,1.01,58.2,61.0,4127,6.48,3.78,6.52
383,0,4,3,1.01,64.9,56.0,4129,6.33,4.08,6.25
384,0,4,0,1.32,65.8,55.0,4140,6.87,4.51,6.83
385,0,1,2,1.0,66.3,62.0,4140,6.27,4.09,6.06
386,0,4,0,1.41,64.7,58.0,4145,7.05,4.55,7.0
387,0,6,2,1.21,65.0,59.0,4147,6.64,4.29,6.57
388,0,6,2,1.21,65.3,60.0,4147,6.6,4.28,6.51
389,0,4,2,1.0,56.3,63.0,4150,6.63,3.73,6.61
390,0,6,3,1.36,67.8,55.0,4158,6.73,4.54,6.66
391,0,3,2,1.0,63.1,59.0,4163,6.32,3.97,6.27
392,0,4,5,1.0,66.8,63.0,4166,6.19,4.1,6.08
393,0,3,0,1.51,65.6,54.0,4167,7.28,4.72,7.1
394,0,2,3,1.13,64.4,56.0,4176,6.58,4.22,6.52
395,0,1,2,1.01,64.7,59.0,4181,6.23,3.99,6.11
396,0,2,4,0.9,66.2,55.0,4183,6.11,4.0,5.97
